age,income,utilization,delinquency_count,default
62,7461.490643032763,0.956049062029624,2,0
65,3643.5951379167473,0.15712776693640756,0,0
71,4983.955063469501,0.29922930760210875,1,0
18,7550.813416879113,0.5052445157390539,0,0
21,3270.4259324747272,0.7381744691017527,0,0
21,3842.4602044898634,0.13633311965843747,0,0
57,3742.724409666988,0.29433742772538574,0,0
27,7838.437086626995,0.3367953341741414,0,0
37,3714.362811670228,0.18309043720116217,0,0
39,5483.553062695576,0.24942533944425882,0,0
68,6165.8467192502685,0.5666630397460947,0,0
54,3265.3231443119967,0.6840875251496044,0,0
41,4259.558720040034,0.6358275152395955,0,1
24,9104.928860388398,0.508854027056991,0,0
42,3638.7654092413436,0.0255007916725149,0,1
42,6312.933768246605,0.4846588667337338,0,0
30,3934.0062489090697,0.50326738049726,0,0
19,4420.087116443103,0.30769354808675087,1,0
56,6822.9767982140675,0.31232148305701385,0,0
57,6112.461502884524,0.4480812609906527,0,0
41,4863.351860627896,0.4508298199892597,0,1
64,6015.570425731866,0.8059479242753744,0,0
42,4044.778935004122,0.2744867154083341,0,0
35,4738.498126832668,0.49884826668604076,1,0
55,9279.388523543654,0.6089689635007587,0,0
43,4891.212772048487,0.28614793192870247,1,0
31,8264.003534540649,0.6117368144076781,0,0
26,3801.490432620651,0.3128696218952462,0,0
27,4294.192287662576,0.6803295973090576,1,0
38,6301.570888393697,0.3615438664502441,0,0
69,4056.0108254816187,0.18418132113755897,0,0
34,3555.464332431646,0.5450598473158046,0,0
69,2862.7581030060014,0.7948327450274509,1,0
23,8238.577783194058,0.3984013046415294,2,0
33,5559.391199919317,0.4160082535040369,0,0
65,5753.340835439066,0.07763684831014307,0,0
18,4311.745473695458,0.3026510085681897,1,1
36,5901.459695702615,0.7020152803158423,1,0
53,8622.401217518094,0.0470055128901133,0,0
42,6978.983916184699,0.7501092653650485,0,0
67,4918.100290956625,0.5682553985848198,0,0
69,6139.669546810882,0.9657140458995788,0,0
47,6359.525387926856,0.23407200765990716,0,0
37,7628.257070721122,0.9798725350717359,0,0
37,4846.100950372073,0.7608701049709488,2,0
32,6640.070724970655,0.1879156124871783,0,0
57,4705.201616549777,0.5882896876731509,0,0
50,4451.047390254589,0.3941262786938148,0,0
19,5838.514513408857,0.13664145221472543,0,0
27,7273.63469821713,0.28468107953121474,0,0
50,3171.610927161246,0.5021874042562031,0,0
49,6280.9695141207285,0.6591682033133572,0,0
28,4917.034453427967,0.3531740354913758,0,0
70,3547.6505378513248,0.4274391756008384,0,0
